lun	part	name	start_512	size_512	start_bytes	size_bytes
sda	sda1	ssd	48	16	24576	8192
sda	sda2	persist	64	65536	32768	33554432
sda	sda3	misc	65600	2048	33587200	1048576
sda	sda4	param	67648	2048	34635776	1048576
sda	sda5	keystore	69696	1024	35684352	524288
sda	sda6	frp	70720	1024	36208640	524288
sda	sda7	op2	71744	524288	36732928	268435456
sda	sda8	oem_dycnvbk	596032	20480	305168384	10485760
sda	sda9	oem_stanvbk	616512	20480	315654144	10485760
sda	sda10	mdm_oem_dycnvbk	636992	2048	326139904	1048576
sda	sda11	mdm_oem_stanvbk	639040	2048	327188480	1048576
sda	sda12	config	641088	1024	328237056	524288
sda	sda13	system_a	642112	7110656	328761344	3640655872
sda	sda14	system_b	7752768	7110656	3969417216	3640655872
sda	sda15	odm_a	14863424	204800	7610073088	104857600
sda	sda16	odm_b	15068224	204800	7714930688	104857600
sda	sda17	metadata	15273024	32768	7819788288	16777216
sda	sda18	rawdump	15305792	262144	7836565504	134217728
sda	sda19	userdata	15567936	475706264	7970783232	243561607168
sdb	sdb1	xbl_a	48	7168	24576	3670016
sdb	sdb2	xbl_config_a	7216	256	3694592	131072
sdc	sdc1	xbl_b	48	7168	24576	3670016
sdc	sdc2	xbl_config_b	7216	256	3694592	131072
sdd	sdd1	ALIGN_TO_128K_1	48	208	24576	106496
sdd	sdd2	cdt	256	256	131072	131072
sdd	sdd3	ddr	512	2048	262144	1048576
sdd	sdd4	mdmddr	2560	2048	1310720	1048576
sde	sde1	aop_a	48	1024	24576	524288
sde	sde2	tz_a	1072	8192	548864	4194304
sde	sde3	hyp_a	9264	16384	4743168	8388608
sde	sde4	modem_a	25648	614400	13131776	314572800
sde	sde5	bluetooth_a	640048	2048	327704576	1048576
sde	sde6	mdtpsecapp_a	642096	8192	328753152	4194304
sde	sde7	mdtp_a	650288	65536	332947456	33554432
sde	sde8	abl_a	715824	16384	366501888	8388608
sde	sde9	dsp_a	732208	131072	374890496	67108864
sde	sde10	keymaster_a	863280	1024	441999360	524288
sde	sde11	boot_a	864304	196608	442523648	100663296
sde	sde12	cmnlib_a	1060912	1024	543186944	524288
sde	sde13	cmnlib64_a	1061936	1024	543711232	524288
sde	sde14	devcfg_a	1062960	256	544235520	131072
sde	sde15	qupfw_a	1063216	160	544366592	81920
sde	sde16	vendor_a	1063376	2097152	544448512	1073741824
sde	sde17	vbmeta_a	3160528	128	1618190336	65536
sde	sde18	dtbo_a	3160656	49152	1618255872	25165824
sde	sde19	uefisecapp_a	3209808	4096	1643421696	2097152
sde	sde20	imagefv_a	3213904	4096	1645518848	2097152
sde	sde21	core_nhlos_a	3218000	348160	1647616000	178257920
sde	sde22	LOGO_a	3566160	32768	1825873920	16777216
sde	sde23	fw_ufs1_a	3598928	4096	1842651136	2097152
sde	sde24	fw_ufs2_a	3603024	4096	1844748288	2097152
sde	sde25	fw_ufs3_a	3607120	4096	1846845440	2097152
sde	sde26	fw_ufs4_a	3611216	4096	1848942592	2097152
